datetime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2020-03-10 16:02:01.414167,0.009000000000000001,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.414258,0.01,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.414345,0.011,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:01.414442,0.011,-0.006,1.027,0.21,0.49,1.05
2020-03-10 16:02:01.414460,0.011,-0.006,1.03,0.21,0.49,1.05
2020-03-10 16:02:01.450158,0.01,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.465585,0.01,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.486054,0.01,-0.005,1.03,0.21,0.49,1.05
2020-03-10 16:02:01.501430,0.01,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.516802,0.011,-0.005,1.029,0.21,0.49,1.05
2020-03-10 16:02:01.521967,0.009000000000000001,-0.007,1.03,0.28,0.49,1.05
2020-03-10 16:02:01.527099,0.01,-0.006,1.03,0.28,0.56,1.05
2020-03-10 16:02:01.532310,0.01,-0.007,1.03,0.21,0.49,1.05
2020-03-10 16:02:01.532391,0.011,-0.006,1.029,0.21,0.49,1.05
2020-03-10 16:02:01.537611,0.011,-0.005,1.028,0.21,0.49,1.05
2020-03-10 16:02:01.550395,0.01,-0.007,1.03,0.21,0.49,1.05
2020-03-10 16:02:01.550481,0.01,-0.005,1.029,0.21,0.49,1.05
2020-03-10 16:02:01.565870,0.011,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.586293,0.01,-0.006,1.032,0.21,0.56,1.05
2020-03-10 16:02:01.596565,0.01,-0.005,1.029,0.21,0.56,1.05
2020-03-10 16:02:01.606855,0.01,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:01.622299,0.01,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.637616,0.01,-0.006,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.648018,0.01,-0.007,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.648077,0.01,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.678827,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.689139,0.01,-0.006,1.031,0.21,0.49,0.98
2020-03-10 16:02:01.694457,0.01,-0.007,1.03,0.21,0.56,1.12
2020-03-10 16:02:01.709779,0.011,-0.006,1.03,0.21,0.56,1.05
2020-03-10 16:02:01.725186,0.01,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:01.730405,0.01,-0.006,1.032,0.21,0.49,1.05
2020-03-10 16:02:01.730478,0.01,-0.005,1.032,0.21,0.49,1.05
